cleaned_text,label,username_encoded
i like that an answer to your question a lot of the time they have a type of honeycomb traingle structures made of rigid rubber inside the wheel thank you for being the first person to ever post here too you have earned the tag og congrats,r/militarytechnology,Z0FBQUFBQm0yeGJSUEVnTnZXUEpPNDJ4dmR5anlYMHBDS2dES0tMQmxwaW94U2I4a3BiRXIzTjVVd2JwWXFSVnE4R2pBNlZ2WW9aRmZLN0dhb0g2MHFJakZncm93YmVGV1E9PQ==
then i assume it is more rational by properties balance than fullsolid wheels i was thinking a filledfullsolid wheel would be the best but nothing confirms this to be the case but i feel like such wheels wouldnt be the best choice for durability after damage because they need to withstand highvelocity force redistribution and light jumps for <number>+ minutes including a possible cost factor can you mention any specific vehicles which use them a guy on canadian forum also said they use runflats rd option some article says that m stryker uses runflats and press publications say matv uses runflat system but idk if they mean the same or just a capability,r/militarytechnology,Z0FBQUFBQm0yeGJSeV9TUXZSZTdnSi1BLVd1ekplMm1JelFfMmxEZVlSa1MtX1QyRzVfSUlVU3Zod2lDWEx2WVMwTHB5am45dWViSDh1Ty1tcHF2NkJNLWxvY0NlS0NGamc9PQ==
seems that superav and the most of vehicles in use by us use hutchinsons variable function insert vfi runflats,r/militarytechnology,Z0FBQUFBQm0yeGJSNXZIQUxpVzh6R0s2Nnphck8yaE1Gakp3ZlFKcU5fdlF1T3JjczgwTEFGdzktYWVrSTNNd0czeGJBSnR3Z3U4QTVMS2k2MXVldUV5eGtGNlAzaUJEYlE9PQ==
<url><url> < military honeycomb tire test humvee the bounciness of the tire can even create a sort of mini suspension i cant find info on whether its being used yet but i know for a fact the us militia has interest in it,r/militarytechnology,Z0FBQUFBQm0yeGJSRG9BQmhud3FzY2NSdFQ0LTJNa042MXdsZ3pzZ3NzVUtXQUdLb2J5U0VBakx0MGVQcmJUclRFUFBobFUybXdwdG1aNGlScGgwZzFCSDF1RzBLUXV2MUE9PQ==
once this sub gets big enough should i make a discord server for it lmk,r/militarytechnology,Z0FBQUFBQm0yeGJSWjRTMFJXWVpUWVBTWjRfbk11MUFtUnVOVkcxZUN3RnExLWFTZTk1QzRkbERYMVVObGJOMmtkODVjRC1rZGNFYzRvMVJDTU44b0llZVdmVVBxUUJ2WWc9PQ==
i think for it to be usable reliable compact and powerful it would take around <number> years,r/militarytechnology,Z0FBQUFBQm0yeGJSTGhUV0c1Yk1TSm1iRldHeGZwMTRTZ2lpS0l4bC13aFJhem5ibHhic0M3bmtSQV9zMmNBZmlPYkVVZ3NFc3R3Z1BiVlN5aTlhaWswWUcydUdITG1vc3c9PQ==
yes <number>,r/militarytechnology,Z0FBQUFBQm0yeGJSemx1djJxQzdEVXJROHFSRXZsZFo2NDV3YW5XMTlfMzdYcEFoWmxPRGgzdGtvV25sVnU1YU5Uc3hFdXktemgxQ1FJTlBiNEFTNnNlWF9JM2lZVU5XWGc9PQ==
ok thx,r/militarytechnology,Z0FBQUFBQm0yeGJSaVBlZzlVbUJWZkE0TlFiX2dESHp5bEU2SUlZbDQ0UVhTdWR5WDBIdUVKMEd1X0pDX0Z6X09VMjF1R1lWMUJ5VWV0T0pXc2oxMnEzamRjQXBhbkxSMlE9PQ==
awesome post man this is a cool missile indeed,r/militarytechnology,Z0FBQUFBQm0yeGJScVNzSHZPN3JxVVBFck5mbFNNMnZfTnlVU0NEV3YzdlBLWW01S0VTeGp2c1h3N19nQ2t5Z2c3Zm5Td2MzeW0waVlYUGtIM1dlMjN1bHlGUWp3VHc4R1E9PQ==
maybe there is a possible comeback of some kind of downsized battleship as smart munitions are popping up the zumwalt class was intended to use two cannons with smart munitions as primary i think but we probably wont need huge guns anymore mm is probably enough,r/militarytechnology,Z0FBQUFBQm0yeGJSeHdDYUVmVTVFb05oSzBnRHh6VDc2MGhTZ25DQ3QwckJmVFZfbzQyTVllNDZKZHdERnZvZ0pQdU9TNGRva2VXMmk5SFVldVA4YmRRQlJRR2dMa0ItUEE9PQ==
in space energy weapons have a good advantage as there is no atmosphere to duck up with the light of lasers for example but projectiles will always be useful in ways that energy weapons cant for example if i have a military base inside a mirrored dome that reflects a good portion of all kinds of light + permanently sorrounded by a man made cloud of smoke and with a strong magnetic field shield you cant use almost any kind of energy weapon to attack it but physical projectiles will have no problem,r/militarytechnology,Z0FBQUFBQm0yeGJSNkJDb3dzUG1FQUlaR0hYM0tKTEc2VXRmRlhHa2xGMzV5dFltcjdSYVBpbjg3Yi1MdGxiWEJIdzFNVm5sbFZBNHZhdVB6VHkxY19lbXhoeWpYeEpzb2c9PQ==
i think it sounds pretty cool my concern is that the results of it backfiring could be devastating,r/militarytechnology,Z0FBQUFBQm0yeGJSaVJsbGc1U1l1R2F2QUtKUExIZGc3R0tsZ1BzZy1uTnM1MkVWdHpBT3RJWGhwel81YnZ1TTl2MDlfZEF1bDlobU9qNVpwUmJ6MnhJQ3QyOWVkTDE1ZEE9PQ==
can i share my military technology builds also please,r/militarytechnology,Z0FBQUFBQm0yeGJSaVlBZUV0cnNRVFZXUFBSTTBOaXl2U1pHR0p2cVAwVDJtQUhmYWZGMm5iUmN6c2xNN0l6aExpV3hsOXBiWlhMZzN4Q0xwYWtvWGJJN2hIZnV6ZzBHTEE9PQ==
dude you are <number> welcome to post uelecygriphen,r/militarytechnology,Z0FBQUFBQm0yeGJSS0pUREtISmM5bVg3UWUxMm1tMFFSZjNWd3JORHNLUFVjWkNUWlRRa0xFdWZ6OGdNRkNhNGliaHZ6SWhIeVY4VVBWaktIdU5ybWJCdGx6LU5DV3I2U2c9PQ==
okay thank you my guy,r/militarytechnology,Z0FBQUFBQm0yeGJSbFlfRzNzeFV1cUZrZHk1N3g4VV9FQlM5c3lZd1ZHRTFFT3VJODI4SkpXeW1xQUJGcG1iaWt4N2tqN3EtVzlBUEppVEt2SW9HczVDaHI1YW1fVEdEUFE9PQ==
im making a program that saves lives in a school shooting please check it out and use it for schools only,r/militarytechnology,Z0FBQUFBQm0yeGJSdHNFWHhJQWctbDhCWDRQTHdEcGFGWlRTT3FOTEQ4S25oQU1RY3BrV3RfVHNaUVNaSzR4OGhvMXFDZHU5bXZNWjYtX2ljdzlQNUVGUUtmQnZ2NndNNUE9PQ==
<url>,r/militarytechnology,Z0FBQUFBQm0yeGJSWVBQTTlQQmViak4wU0g3QUdqdkx5RzY1VlBSTEp1VTZkWlNlNkJGeElGVUxqLWptRFBpRGhVN3dmU2xSVHV4Z2VKUHJ5amFfemd6UFZoZ0RUNVN5OXc9PQ==
please watch the video fully also,r/militarytechnology,Z0FBQUFBQm0yeGJSM0dfSnpYUDY1MTdjU0pRWENsMElNSEY4bWVQVEtDWnRYQUtxaHhpbTViX2tEb1VXbGJFX1FLcjhqOGhKZFItd2w2VWZxOUc2WTdlcDJDTFRPNEtRU2c9PQ==
awesome alert system for any type of building nice and versatile well done,r/militarytechnology,Z0FBQUFBQm0yeGJSd1hDYUxwekRvaVRkQ1ZSQXpoVDZUaFZNMEdST25Ua3JKMTZ0Z3ptVi1LU1lUZFVENEtSTEZCMGJXM0pWNGJtMWVDR2hJbk5qbUZnRkRaSVVxLW9YV1E9PQ==
thanks i i worked on it really hard,r/militarytechnology,Z0FBQUFBQm0yeGJSNmt2VHVZb0VyRnkxb1IwbzdlbDdKZ0c2SnhjNVVUWEQ5MDBsS25xenhNdG12c0RGTnZRMWlLNEJvRWtXNGxKTWtzdUl1UWQteWsyMWM0Q1ljRnVPS0E9PQ==
we already do that,r/militarytechnology,Z0FBQUFBQm0yeGJSZ3NwcW5YYy1sVU54SkR4MTFqbTNYLU94bVREaWJ4dE8yWVpuWVgycldHZkxmWWhrMGNjQmZ6eGZRNlBaekJONFRTNFlRMkp6OTN3Zi0xU3ZEVzZtSFE9PQ==
got any evidence of that i havent even heard of a prototype,r/militarytechnology,Z0FBQUFBQm0yeGJSYUxXbk1yaUhfZzBrMkhtUUtObnFpYUNidHBDT3VYcHNJeUVEZkxaNWtnV2RCZE9mM3ltemNuY0pmeF9RdE5LNnh0SnRSY0hUeG41NmdGemVSRUJVVW1EbnF5VENnWHVoajNDWVQ4ZHFwSTA9
ir missles lock on to a heat source that heat source is bounced off programs that they have trained so we can try key word try to not have a false positive on a flare radar guided missiles which only a few countries have lock on to the shape size of the plane as it approaches just like that new bomber was unveiled its stealth to low freq radar and what the world switched to high freq current stealth only does one that thing could drop bombs on moscow and no one would see it coming its a first strike weapon pure and simple current sensors on planes to detect incoming missles have been trained to detect optically now if its real or not we used to use uv based sensors when a missile is going through the sky it gives off alot of uv light but the problem is runaways also give off alot and in the past has resulted in counter measures going off,r/militarytechnology,Z0FBQUFBQm0yeGJSeDFfQWY4RXJkZ013aklNNkpIVm0wRUV0cVV5T0FzeU5VOEZkRjJvdm91QnloV0VvWUFON2hnYThfeGE1OGJUdVE2MlFCY29mTm9fN2s5UnhuT19YQlE9PQ==
none of these things you described are image recognition software which would be able to define the new stealth bomber silhouette from the sky surrounding it unless it has science fiction levels of cloaking technology making it completely translucent the new bomber being touted as viable in modern conflicts was the exact reason i made this post btw because while i can fathom how a stealth bomber might make it over moscow as a first strike vehicle as you said in your example i cant imagine that theyd make it out alive once they gave away their position image recognition in missiles seems like a surefire way to bring it down,r/militarytechnology,Z0FBQUFBQm0yeGJSaW9fZWNyaWFRZjFwU00yU1FkQ2xnM3R3c3BRVkdHWGdaYlpsRWE2R1p0SkU4YUw2WF8tcVZSbkZuMTZma041SVhIRV8yUGd0eXA3WW5mc1YySU8tZElGaXRUazlacWYzS1FtLXF5STVZT2M9
so today we already have in place on our bases overseas camera and microphone systems that instantly slew the camera to the area that the gun shot was heard and do visual analysis to determine if the smoke was from gun powder its a matter of how much one wants to spend,r/militarytechnology,Z0FBQUFBQm0yeGJSMmRwNzJpVjhuNi1GdXJXQTUxMjFGQkpvbjJJSmpJY0Z2bzdZQzVKOFE2cHB4TE5PY1FLSjFGLVRhSm8xV21aQzA3MU9Qd1pueS05VnFnZzFBUV9lcHc9PQ==
true,r/militarytechnology,Z0FBQUFBQm0yeGJSQVcxdUFMZDhxb1YxTzhPLXRYZ2l2R0hUSHpYOGFuOWtwd1VfTXgyS0huaFRheGVweWZnemE2WG9kTTR3UTdKUVlRSm1YVkg5emg3R19FUE5UODBEZGc9PQ==
so there not viable because of technology those guns simply cant reach inside the shoreline far enough and it requires close in quarters for ship to ship usas whole concept is to strike you so far away you never see us much can be gained by looking at a aircrafts or ships design take the chinese j cockpit the canopy is huge china built a regional dogfighter take our f the pilot cant see behind him well he can with his special helmet but for usa were taking your ass out dozens of miles away like <number><number> with amraam missles next gen is on the horizon even further look at a ramp assist carrier vs catapult everything you need to know about a countries intent on a carrier is from that ramp assist means on average <number> less fuel less fuel less range usa uses catapult systems for maximum loads and fuel we have no interest in <number> century of you bringing the fight to us well hit you before you even know whats coming but to make them viable they would have to have a rail gun problem with rail guns is when there fired there is a immense plasma burst that happens the cannon itself only lasts <number><number> shots the problem is the coating inside we have not invented one that allows continious firing of a rail cannon makes that idea pretty unviable unless its ground based you would be better off building a ship that can hold like <number> cruise missiles the other question is why would you want this sec of defense gates under bush and obama greatly questioned the marine corps future aav plans chinas surface to sea missiles are greater then the launching range of the new aavs how would a amphibious assault over come that in a machine that is not uparmored going slow with no counter measures,r/militarytechnology,Z0FBQUFBQm0yeGJSZ0lWYkhlQVpueTBpbzgwSy01ZFYyejNrbExEanZ3MTFnZ0F2RnRSeGVTRWJ1Nmp6OXdMcGhPOWJfbGEwZUduQ3E2dGxQZThocm82X21KMThhZUZwSHc9PQ==
energy source bullets are cheap rifles are highly highly accurate themselves thats the genius of eugene stoner his basic design is what powers all ar type rifles its simple it works parts are common interchangeable its scalable lasers are already actively in use for rpgmotarsmissle defense but in terms of a rifle no real reason really if your still alive after i shoot you i shoot you with a <number> well firing another then another is cheap effective and easy sometimes higher tech is not necessarily better,r/militarytechnology,Z0FBQUFBQm0yeGJSQXZSVExIdzhpcGtNSy0tZzY4SlRrUEpTeTVnOUZGUHpCU0xhay1XMWs1TUlUZTVPOG85VlNxeFlDMFp5cVgzbVBtdU9hVWQ2b2swaUtOSHg1b3ZzZVE9PQ==
<url>,r/militarytechnology,Z0FBQUFBQm0yeGJSTHJ3VXpWZUMxeEpjeDduWThNWkVZMzk3OGlRemI4b2VjS0M3bHU5bnNlWENESFA5SEMwWjY1aTR6Q010UFFfN2xuVXpQbG1hc2lwb3VsTy03T3p4MEE9PQ==
<url>,r/militarytechnology,Z0FBQUFBQm0yeGJSdnVwSUhwalFvdWRXWUpJUTdrSzNBSzlwZWMyemxXT0EyN2c0c2JVR3ZVWUNmWFJBUS1jSkVBSC14U2xTRGdpUFpEdnlTYTl6b0FpTWw2bXZJUGhrb3c9PQ==
the problem with schools is you now run into politicians then they turn it into a gun control debate you cant eliminate <number> million guns even if you tried so eventually you must fortify your school its just the reality but none do it,r/militarytechnology,Z0FBQUFBQm0yeGJSWG9KVThHejJmVEctR2YyaDMxSFFFaEh4VlQyZGRxeE9yQW1sZWRJWm84UVVURzFkVUlJRWMwckRabmdRR1BwckxiWEFOTkVXZkN1YWl6cnUtMTZ5cHc9PQ==
stormbreaker revolutionary weapon usa has it has multiple sensors to lock on it can be dropped through a canopy of clouds uses infrared optical and millimeter radar what your not seeing is gps lock on is essentially what your seeing the nro and our legion of planes the military has dedicated to this have mapped every square inch of the planet things really do not change that month year to year the building <number> miles down the way from you was there yesterday today and tomorrow if you know those gps coordinates then you know your target plus tesla is going back to radar based well adding it back to there cars the big three automative makers actually have commented on teslass singular image system in there tests it was extremely unreliable apple has tested that out to and tim cook told them to figure out something else also your missing the fact we dont need exact precision for guided munitions a hellfire missle has about <number> pounds of tnt if one was to hit your house it would be toast and much around it a lb bomb the explosion is huge lb bomb it looks like a mushroom cloud from a nuke went off only a idiot would think or believe what they say when they tell you how careful we deploy our weapon systems the other thing your lacking on this is human body is over <number> water your not dying from the actual explosion your dying from the shockwave at <number> feet a second of air destroying your body you can kill a human <number> ways a gunshot bleed out like a hunter would know about a shot to the area of your skull where your nerve cluster is which makes you turn off like a robot or hydrostatic shock the last being how the majority die in a gun fight or explosion hydrostatic shock is all the capillaries in your body disconnecting from organs veins being shattered,r/militarytechnology,Z0FBQUFBQm0yeGJSWHpLemZJUVdBQ0MtSFRELTZZQ3JOUzJYVGZ5Y1FkajUwM20xTXlEcUVSQzhGbzQ3TEhRN2l6WndKZjRwZk9PUnpLZHh6ZnF6VW9rVDIxSFoxYVZTU2c9PQ==
how would it make it as a first strike well if northrup is correct that its invisible to all forms of radar you simply fly over it and drop your payload and your out before it even hits the ground true warfare if its unlimited there is no need for precision per say your goal is to kill the enemy and break his things its like usa if china really wanted to make usa suffer they would simply cut off the medications <number> or something of our antibiotics come from them so do most of our chemotherapy meds you can thank your politicians for allowing that to happen cut us off for a month and a good portion of usa would simply die off from lack of treatments,r/militarytechnology,Z0FBQUFBQm0yeGJSVExhSWVzTVpFV0FOY0VxQUJnMmhaeGR5ak5ZeVJaQ2Y0TDQ5VVFwV2ZpSGN3ZkJibUtHT3FYTlVrSVMwY2RENEhtcHUwTHdfWXVpZ01GY016RGRBLWc9PQ==
link the video i think for most that are military were military and contractors we see stuff everyday and pay it not attention its a part of life,r/militarytechnology,Z0FBQUFBQm0yeGJSTHZhNnpxRFk4bXkwMzBHU0FOaVlpOFI2RUNER2ZKZGExTk9rMGlPSFVvaTA3NjJlb29UZXFCUVM3SWtXYjNDMUFUS0tqeF96TzN6VWQ4VmFFQWRRdXc9PQ==
>link the video i think for most that are military were military and contractors we see stuff everyday and pay it not attention its a part of life <url>,r/militarytechnology,Z0FBQUFBQm0yeGJSOThsWkRJXzBaNVRiak94cV9sQ0xjU3VNRGF6RG5QYXlNYXpXV0d6V0oxeHd2LXdObmJTaGtfdnFNOHdMekFwSnNOTGVRYjRweUg0cVJUc0tmelBjVEE9PQ==
